customer_id,account_balance,credit_limit,monthly_spending,credit_score,account_type,risk_category,years_with_bank,monthly_income,loan_amount,payment_history_score,utilization_ratio,debt_to_income,risk_score,profit_margin
22,2124.59,36847.886566011264,2093.97,800,Savings,Low,14,6360.29,365.63,0.7452272042598924,0.057,0.005,1.45,44.0
23,3298.73,4999.86911949889,2224.78,600,Checking,Medium,16,14379.43,32005.96,0.6288478240945898,0.445,0.185,16.52,47.79
24,351.73,3957.252115537626,2172.9,500,Credit,Medium,18,8929.72,42177.42,0.9424633734224833,0.549,0.394,3.16,43.81
25,1317.41,13108.058466497176,4556.53,600,Checking,Medium,12,10210.08,22971.63,0.7885102008452791,0.348,0.187,7.36,92.45
26,3520.59,8817.68932554623,3627.36,600,Savings,Low,18,9058.23,19957.16,0.6105738050553466,0.411,0.184,16.01,76.07
27,530.34,43717.39476301788,3117.95,500,Savings,Low,7,3681.95,3778.45,0.6345598763190052,0.071,0.086,2.59,62.89
28,5237.22,11741.48538054417,1684.99,400,Investment,High,7,6885.68,64336.97,0.9015665444681229,0.144,0.779,1.42,38.94
29,1210.81,48817.39753513743,4154.19,850,Savings,High,9,3288.9,26251.03,0.5220727810437278,0.085,0.665,4.06,84.29
30,1924.57,17507.893796784236,4784.29,500,Checking,Medium,1,10098.4,5234.72,0.99604609351441,0.273,0.043,0.11,97.61
31,1208.87,9923.777868746265,4141.75,500,Savings,High,6,7809.36,23097.93,0.5651758398573958,0.417,0.246,18.13,84.04
32,47974.13,39695.226849981475,207.51,800,Investment,Low,6,12113.8,80191.4,0.8980342626984688,0.005,0.552,0.05,52.12
33,2921.21,33276.68099954293,3254.73,500,Investment,High,12,4866.12,85148.92,0.6973876583858414,0.098,1.458,2.97,68.02
34,609.98,25411.59010620381,445.45,400,Checking,Low,12,4139.36,48306.62,0.7461080916437335,0.018,0.973,0.46,9.52
35,10237.55,28212.813995943932,1436.51,800,Credit,Medium,10,7282.32,41607.07,0.9403252887322889,0.051,0.476,0.3,38.97
36,477.58,36240.88713534093,485.72,300,Savings,Medium,6,14045.61,97785.37,0.7064555947946066,0.013,0.58,0.38,10.19
37,4077.73,12194.282325233638,3098.22,300,Investment,Low,17,11235.48,20056.47,0.7687468768366172,0.254,0.149,5.87,66.04
38,157.67,49820.36188678035,3495.63,600,Savings,High,19,7446.01,21535.93,0.524649831204585,0.07,0.241,3.33,70.07
39,406.56,48764.86494519237,749.54,850,Savings,Medium,18,8724.54,29186.72,0.5011737369337266,0.015,0.279,0.75,15.4
40,4004.97,32865.95863099991,2042.43,600,Credit,Medium,6,3094.77,17275.73,0.622399936500863,0.062,0.465,2.34,44.85
41,9024.51,10777.580095528112,2389.94,400,Investment,High,19,14799.49,37936.56,0.8402915464593836,0.222,0.214,3.55,56.82
42,3854.72,34331.18387913328,1971.45,700,Savings,High,10,10663.29,91083.42,0.5606324466795684,0.057,0.712,2.5,43.28
43,2506.21,4537.722039979616,780.92,850,Investment,Low,8,5710.25,61534.78,0.5568809794022747,0.172,0.898,7.62,18.12
44,1897.6,2501.972608084497,2210.95,300,Checking,High,6,9615.51,41194.65,0.7054803040179516,0.884,0.357,26.04,46.12
45,324.48,13626.46153704947,3805.65,600,Checking,High,7,3423.27,93441.08,0.8239185193041132,0.279,2.0,4.91,76.44
46,1012.56,23668.524880226498,540.84,300,Savings,High,1,14555.88,4846.42,0.8560359961239652,0.023,0.028,0.33,11.83
47,1493.75,43545.35276501065,584.86,400,Investment,Low,18,4272.2,21027.62,0.5892253370491873,0.013,0.41,0.53,13.19
48,14554.91,36631.28441854909,1902.9,400,Savings,Low,12,10424.39,56588.86,0.5397940736860212,0.052,0.452,2.39,52.61
49,4991.18,37392.619538799074,4720.28,700,Investment,Medium,16,5190.91,61555.26,0.970198516972772,0.126,0.988,0.38,99.4
50,211.76,21849.173387955692,3409.15,700,Investment,Low,10,11328.3,3955.75,0.6303331912810508,0.156,0.029,5.77,68.39
51,4847.05,17950.814634801183,3457.62,800,Credit,Medium,10,12098.68,40303.88,0.9266732488043619,0.193,0.278,1.42,74.0
52,1673.0,19180.89938624553,1937.22,850,Credit,High,14,10754.46,64915.4,0.9317457252314092,0.101,0.503,0.69,40.42
53,1079.89,49394.82862306683,3049.57,400,Credit,Medium,10,9988.49,69807.05,0.8862612958812722,0.062,0.582,0.71,62.07
54,7461.52,2965.3503792116417,248.63,600,Savings,Medium,10,13602.1,63813.99,0.5844168033262851,0.084,0.391,3.49,12.43
55,13995.61,43484.54330999998,3253.26,300,Credit,High,11,3022.15,32056.32,0.9109007296271001,0.075,0.884,0.67,79.06
56,12051.21,29355.095020047276,4583.78,500,Credit,Medium,2,6301.89,9352.01,0.8846252796207934,0.156,0.124,1.8,103.73
57,846.55,22492.155540289932,3140.35,700,Checking,Low,8,5227.74,42711.24,0.7983614950531086,0.14,0.681,2.82,63.65
58,1874.66,36537.62536034169,4393.75,500,Investment,Low,7,14844.18,12875.44,0.6686010175844763,0.12,0.072,3.98,89.75
59,4899.53,24846.77812981044,3675.07,600,Investment,Low,8,7062.07,94762.37,0.631254302133272,0.148,1.118,5.46,78.4
60,12878.54,43797.738666001365,778.68,700,Credit,Low,1,11523.97,47517.09,0.5609446060401795,0.018,0.344,0.79,28.45
61,1452.79,45134.391336551664,4531.78,500,Investment,Medium,2,10901.43,31725.92,0.7548785334504358,0.1,0.243,2.45,92.09
62,2256.37,21664.325416799315,518.93,850,Checking,Medium,18,4757.06,76630.41,0.7926304377549233,0.024,1.342,0.5,12.63
63,567.08,14564.562064517528,2763.04,600,Checking,High,15,5106.97,49794.86,0.6796694952578937,0.19,0.813,6.09,55.83
64,495.56,30025.16610107475,882.26,300,Credit,Medium,1,5656.7,31003.4,0.7376795338404343,0.029,0.457,0.76,18.14
65,10084.84,45705.80393521786,256.19,850,Checking,Medium,5,7344.65,81196.77,0.6817572286846334,0.006,0.921,0.19,15.21
66,22796.45,11322.447261277663,2225.76,600,Investment,Medium,2,5046.23,86715.22,0.8205030286603506,0.197,1.432,3.54,67.31
67,2675.75,31525.362594610655,1616.2,800,Savings,High,3,2255.47,67300.82,0.9506296038982817,0.051,2.0,0.25,35.0
68,13430.71,31946.450784533507,2532.8,700,Investment,Low,19,13432.11,4696.44,0.5819601310234724,0.079,0.029,3.3,64.09
69,5127.91,36922.53809834877,2970.56,400,Savings,Medium,18,14552.93,56632.29,0.6907044049515617,0.08,0.324,2.47,64.54
70,1132.66,7446.81657123573,409.95,300,Credit,High,18,6440.42,76329.49,0.5704343019754307,0.055,0.988,2.36,9.33
71,5126.06,36075.42326942234,790.42,850,Savings,High,14,6400.59,13650.3,0.812471885203916,0.022,0.178,0.41,20.93
72,29943.12,45542.59351261641,2881.48,850,Checking,High,8,2092.19,22867.08,0.8644352547442979,0.063,0.911,0.85,87.57
73,2824.99,9804.472334641856,1847.2,500,Investment,Low,12,10843.26,88249.51,0.9659563662987279,0.188,0.678,0.64,39.77
74,31162.34,12639.622921270004,3700.03,700,Savings,Medium,10,12730.72,2012.17,0.6394359631304825,0.293,0.013,10.56,105.16
75,58.58,48598.35960804034,3331.0,400,Investment,High,17,3905.91,75272.71,0.9751056029327151,0.069,1.606,0.17,66.68
76,10227.69,9867.870682764998,4258.9,600,Credit,Low,11,4075.66,47377.33,0.5316313359103374,0.432,0.969,20.23,95.41
77,3396.74,42864.86957510938,3523.97,400,Credit,High,2,12271.08,44677.22,0.801506931682294,0.082,0.303,1.63,73.88
78,1903.57,25121.614965953704,2263.67,700,Checking,High,4,10011.78,709.65,0.528566359671665,0.09,0.006,4.24,47.18
79,3420.84,13114.322645755676,3430.24,700,Credit,High,1,2583.19,81939.82,0.9468870938809724,0.262,2.0,1.39,72.03
80,151.21,43666.74516235306,1521.83,800,Savings,High,15,10093.11,35982.49,0.7649045285350271,0.035,0.297,0.82,30.59
81,2144.14,22819.95749513061,1670.3,800,Credit,High,13,6015.93,54076.56,0.834674175381398,0.073,0.749,1.21,35.55
82,5093.24,26226.05034255482,3987.13,400,Checking,Low,8,6793.43,67730.07,0.9157869629552262,0.152,0.831,1.28,84.84
83,27360.1,18602.43510058852,2342.81,600,Investment,Medium,4,12006.51,70262.96,0.5751553112419844,0.126,0.488,5.35,74.22
84,1370.04,30054.591720311444,4032.23,400,Investment,Medium,10,12542.16,95598.01,0.5192957809690669,0.134,0.635,6.44,82.01
85,886.48,9012.669756666115,4147.63,700,Credit,Medium,19,7204.64,53134.0,0.9394405729564261,0.46,0.615,2.79,83.84
86,1404.4,20162.995295936274,4316.3,700,Savings,Medium,18,14312.99,39971.96,0.6574666137294662,0.214,0.233,7.33,87.73
87,11767.58,48501.203794429086,4599.85,500,Checking,Low,5,7284.02,95370.36,0.5644894539635826,0.095,1.091,4.14,103.76
88,4881.1,13648.53820235525,2268.73,800,Savings,Low,19,12033.87,64211.02,0.7342306185435432,0.166,0.445,4.41,50.26
89,1346.63,33180.096562523315,1730.56,500,Checking,Low,16,8290.4,29815.04,0.7991530378480094,0.052,0.3,1.04,35.96
90,6437.54,16934.31314701005,2994.55,300,Credit,High,1,13667.92,12646.42,0.5154853017112551,0.177,0.077,8.58,66.33
91,3448.23,38900.183158643435,1981.63,700,Checking,High,12,13800.9,84255.45,0.6374478291285439,0.051,0.509,1.85,43.08
92,12745.93,7412.809375199142,3085.16,500,Checking,High,2,3136.42,36218.16,0.516399937138448,0.416,0.962,20.12,74.45
93,1039.94,48521.231208848694,3586.81,400,Credit,Medium,8,14174.41,66046.97,0.7101676945977495,0.074,0.388,2.14,72.78
94,1823.49,23235.687527798324,3504.34,800,Savings,High,18,12731.95,47081.64,0.9475500145331222,0.151,0.308,0.79,71.91
95,1655.47,12566.472703976733,1997.85,800,Credit,Medium,16,12287.04,19892.98,0.9913262057467846,0.159,0.135,0.14,41.61
96,331.86,4601.34061917062,1000.93,600,Checking,High,5,4611.85,60168.66,0.8185237767518138,0.218,1.087,3.96,20.35
97,4647.94,9318.137349289496,2266.54,400,Credit,Medium,13,12466.55,6068.31,0.5808188468922959,0.243,0.041,10.19,49.98
98,4409.79,26468.923479244866,884.45,600,Checking,High,19,13051.73,41334.25,0.9529246949996528,0.033,0.264,0.16,22.1
99,3003.91,17513.15564513303,4472.47,500,Credit,High,3,5758.95,54661.49,0.7581239116000302,0.255,0.791,6.17,92.45
100,2096.7,41615.284928247864,1860.21,850,Investment,Low,8,14379.38,43604.7,0.576874656051459,0.045,0.253,1.9,39.3
101,356.72,22113.48865942849,941.41,300,Investment,High,12,2648.18,74867.22,0.9608633347258306,0.043,2.0,0.17,19.18
102,1586.1,13186.999356793865,322.15,400,Credit,High,2,3948.82,82792.5,0.8787345253615515,0.024,1.747,0.29,8.03
103,1782.78,31240.10434359747,3299.95,400,Savings,Low,11,8988.55,77124.31,0.8658526363615757,0.106,0.715,1.42,67.78
104,894.79,35632.08362738685,3257.13,400,Checking,Medium,12,9485.3,3881.29,0.8545903518972023,0.091,0.034,1.32,66.04
105,2340.39,9185.053487146542,1834.9,600,Investment,Low,18,10386.95,19412.88,0.6001699105482212,0.2,0.156,8.0,39.04
106,5464.76,9213.341598127565,544.22,500,Savings,Low,13,2220.6,53660.75,0.6055033458537631,0.059,2.0,2.33,16.35
107,50477.29,2796.8999197436056,2166.22,400,Checking,Medium,5,14484.77,93482.2,0.8441464992136275,0.775,0.538,12.08,93.8
108,3873.32,37083.698738216386,1693.84,850,Investment,High,12,2579.65,83495.68,0.6098613750551984,0.046,2.0,1.79,37.75
109,4386.67,33526.42185346845,3450.18,400,Investment,Medium,2,3859.81,84253.45,0.7193358484015244,0.103,1.819,2.89,73.39
110,2665.99,24256.91291174088,3107.74,800,Credit,High,5,2182.19,30320.82,0.8910009127969707,0.128,1.158,1.4,64.82
111,167.64,42364.35199949066,1950.05,300,Checking,High,7,9369.16,42944.79,0.8919762590489204,0.046,0.382,0.5,39.17
112,2864.73,40477.83749455261,1245.88,800,Savings,Medium,12,14119.47,47070.59,0.7266308862629298,0.031,0.278,0.85,27.78
113,3262.81,29682.363855440854,4942.57,800,Savings,Low,16,10657.31,15737.16,0.8960949691376225,0.167,0.123,1.74,102.11
114,119953.95,43545.29274514967,2379.21,300,Savings,Medium,8,12694.55,3106.81,0.9193108980990283,0.055,0.02,0.44,167.54
115,2233.8,11086.219291801644,3503.72,850,Checking,High,9,2172.66,94690.29,0.8273878756421301,0.316,2.0,5.45,72.31
116,4685.94,6484.061350488666,874.65,500,Savings,Medium,15,9046.2,24071.26,0.6142129261542101,0.135,0.222,5.21,22.18
117,2829.72,14217.730964332492,2530.83,800,Savings,Medium,5,7974.32,23994.89,0.6370058901927738,0.178,0.251,6.46,53.45
118,516.45,3797.2559483764276,332.18,500,Savings,High,13,8486.58,8337.91,0.6574205777043677,0.087,0.082,2.98,7.16
119,16551.54,27027.30687205057,2626.18,800,Credit,Low,5,2938.77,92850.78,0.5584020538669761,0.097,2.0,4.28,69.08
120,9208.66,46893.67892245311,4827.28,700,Credit,Medium,11,10897.66,57973.71,0.6365798101849726,0.103,0.443,3.74,105.75
121,9764.88,2927.8334927569726,2044.19,300,Checking,High,10,8541.87,66703.69,0.6047596121562661,0.698,0.651,27.59,50.65
122,761.98,6983.385786491313,387.18,800,Checking,High,13,11946.94,91157.69,0.727664374904301,0.055,0.636,1.5,8.51
123,24445.26,23157.75238588833,348.59,700,Savings,Medium,9,8308.78,34562.02,0.9542187739361325,0.015,0.347,0.07,31.42
124,364.03,46759.875858867345,2062.34,600,Credit,Low,14,3941.96,62150.73,0.552240158376979,0.044,1.314,1.97,41.61
125,7188.84,16491.649143860774,968.12,700,Investment,Medium,18,10427.34,3879.95,0.8601339619736978,0.059,0.031,0.83,26.55
126,79672.79,25854.505625731228,312.09,400,Investment,Low,15,4241.02,18677.25,0.8436415022065639,0.012,0.367,0.19,85.91
127,674.65,3037.0700934692127,3829.83,800,Savings,Low,10,13341.13,83124.58,0.5478770993316788,1.0,0.519,45.21,77.27
128,1274.81,8268.816847142354,2400.91,700,Savings,Low,7,9970.51,76676.84,0.9612862024529001,0.29,0.641,1.12,49.29
129,3461.57,49344.876024983496,1588.37,500,Credit,Low,8,4043.65,35064.27,0.7842361010784098,0.032,0.723,0.69,35.23
130,1400.78,48290.81612536623,4520.4,600,Credit,Medium,3,14510.39,37681.06,0.6818627605678421,0.094,0.216,2.99,91.81
131,291.2,1242.0590657860712,757.47,850,Credit,High,15,8738.75,53355.44,0.8782692917476533,0.61,0.509,7.43,15.44
132,3303.85,47638.77748573871,4788.41,800,Checking,High,16,2947.68,24.1,0.628682729200817,0.101,0.001,3.75,99.07
133,605.8,32316.87695295952,1707.04,400,Checking,High,4,10148.83,24124.43,0.8467549185231602,0.053,0.198,0.81,34.75
134,6065.6,43527.996431481086,4464.34,850,Savings,High,6,5291.59,20823.18,0.5198556037861236,0.103,0.328,4.95,95.35
135,750.59,23282.252926059096,3094.13,700,Checking,High,1,12448.01,25048.29,0.9197040188046359,0.133,0.168,1.07,62.63
136,30482.3,26264.205400383264,4168.2,850,Credit,High,4,12631.69,80590.58,0.7240854235106593,0.159,0.532,4.39,113.85
137,920.69,24953.482432589088,4923.26,850,Credit,Medium,11,14726.32,27967.39,0.8183464571789709,0.197,0.158,3.58,99.39
138,1838.87,33676.34861975911,1584.35,600,Checking,Low,12,8524.3,19152.13,0.6106189099033419,0.047,0.187,1.83,33.53
139,10099.85,7842.911483059333,4813.45,850,Investment,High,5,7914.44,50426.35,0.8385368563292239,0.614,0.531,9.91,106.37
140,470.46,2468.70590376122,2069.51,850,Savings,Medium,16,11795.18,86564.5,0.8861201379466384,0.838,0.612,9.54,41.86
141,4193.08,16088.567137968355,2050.46,800,Investment,High,13,3722.12,24134.97,0.7366065934421994,0.127,0.54,3.35,45.2
142,21177.91,35529.357374095685,1833.86,600,Savings,High,13,9109.9,7853.62,0.8088634620308972,0.052,0.072,0.99,57.86
143,267.41,10890.81915402447,2798.76,400,Investment,Low,17,9101.22,35640.47,0.7281629619111993,0.257,0.326,6.99,56.24
144,3932.19,33998.18923292095,939.9,700,Checking,Low,7,3163.15,74765.18,0.9470456846289228,0.028,1.97,0.15,22.73
145,4402.04,48525.690259256255,2857.82,600,Savings,Low,8,7433.79,55069.05,0.7489345902571596,0.059,0.617,1.48,61.56
146,9630.92,5601.135073681501,2800.18,600,Savings,High,13,13092.7,81679.34,0.9209043545144094,0.5,0.52,3.95,65.63
147,466.18,33957.50379303119,3857.13,300,Savings,High,16,13130.0,95959.21,0.9006760291351243,0.114,0.609,1.13,77.61
148,411.3,22743.760745923988,4201.52,600,Credit,High,4,3290.09,79266.25,0.7052524106741782,0.185,2.0,5.45,84.44
149,6521.84,43538.97046449776,2314.12,300,Credit,Low,8,3179.37,60380.31,0.6150422459287375,0.053,1.583,2.04,52.8
150,4653.98,9680.33968292191,1651.2,700,Investment,Medium,16,5415.04,49334.16,0.7030410662798855,0.171,0.759,5.08,37.68
151,4340.48,34938.67165908206,1444.81,850,Checking,High,10,13371.96,4006.91,0.91310868788761,0.041,0.025,0.36,33.24
152,5012.41,42067.6491927574,1134.19,800,Credit,High,12,3675.73,98432.2,0.6138162679096961,0.027,2.0,1.04,27.7
153,1074.88,47286.09675422714,476.71,800,Savings,High,12,11359.96,38348.11,0.7622181729288746,0.01,0.281,0.24,10.61
154,4223.34,34479.153386192644,1843.75,700,Credit,Medium,5,3315.15,15222.82,0.9030483739803737,0.053,0.383,0.51,41.1
155,4626.74,25361.563436412936,1497.19,700,Checking,High,16,10100.79,66670.89,0.6767387375641893,0.059,0.55,1.91,34.57
156,1020.93,31274.514769859477,4838.8,500,Credit,Medium,1,6628.87,28428.83,0.8211048185013488,0.155,0.357,2.77,97.8
157,48955.24,43576.34423945719,2877.0,850,Savings,High,9,12255.88,58577.83,0.6228157870244073,0.066,0.398,2.49,106.5
158,6067.79,28959.877585302653,1866.93,700,Investment,Medium,12,5037.98,58676.79,0.55463972268408,0.064,0.971,2.85,43.41
159,499.22,2488.965925145006,2986.24,600,Savings,High,5,10309.62,44572.98,0.8971921125464282,1.0,0.36,10.28,60.22
160,7981.09,46616.48607984191,868.14,800,Checking,Low,3,5063.87,83611.86,0.5494843117043534,0.019,1.376,0.86,25.34
161,690.89,34786.8108005465,2331.41,400,Investment,Low,5,11277.58,26496.71,0.6356906975397922,0.067,0.196,2.44,47.32
162,9707.24,34149.15590308508,3205.92,800,Credit,Low,2,13357.81,44863.26,0.9275547109987201,0.094,0.28,0.68,73.83
163,16947.8,11568.082467488142,2546.71,300,Credit,Low,14,3648.42,53769.21,0.6732346435393336,0.22,1.228,7.19,67.88
164,870.42,33285.388041400205,2128.54,800,Credit,High,2,13265.74,66362.47,0.9865226747570806,0.064,0.417,0.09,43.44
165,12645.59,20299.355877053764,4970.47,500,Investment,Low,13,9716.48,78397.19,0.9898671673869299,0.245,0.672,0.25,112.05
166,5536.8,32910.41587503311,4425.51,850,Savings,Medium,7,3652.44,39480.73,0.6341380102267784,0.134,0.901,4.9,94.05
167,10230.11,6223.058485091546,3192.35,700,Investment,Low,10,7558.04,64604.69,0.5204891111249452,0.513,0.712,24.6,74.08
168,51286.84,33234.41992554876,2933.01,850,Investment,Low,13,4091.18,15061.1,0.8525316421026896,0.088,0.307,1.3,109.95
169,2063.0,49971.272562762664,3179.17,700,Checking,Low,16,11104.52,93264.81,0.7254932513241719,0.064,0.7,1.76,65.65
170,962.37,3362.3899041672453,1166.3,800,Investment,High,14,11865.29,38305.88,0.5503764219797882,0.347,0.269,15.6,24.29
171,785.04,48881.53502684455,2096.66,400,Credit,Low,11,3375.35,72952.14,0.8537614094890214,0.043,1.801,0.63,42.72
172,876.8,20938.49007542066,389.41,400,Savings,Medium,10,8579.82,2034.11,0.5155874545559607,0.019,0.02,0.92,8.67
173,2655.39,43666.9190665257,2482.62,500,Savings,Low,6,12590.13,20518.71,0.935098345246121,0.057,0.136,0.37,52.31
174,4972.75,39336.8887188554,2806.52,300,Savings,Low,4,14170.12,48708.25,0.5693262645566519,0.071,0.286,3.06,61.1
175,4514.44,28783.79678834672,1293.2,800,Credit,Low,1,8675.73,87825.25,0.5636559393733624,0.045,0.844,1.96,30.38
176,10309.02,37184.011253315,4827.34,700,Credit,Medium,7,14353.63,52725.51,0.5878361489842923,0.13,0.306,5.36,106.86
177,3039.67,44047.26250376605,4565.38,800,Credit,Low,9,8963.96,92987.05,0.9801331792460333,0.104,0.864,0.21,94.35
178,26378.41,20802.875760900617,3666.29,500,Credit,Medium,8,7124.48,48379.69,0.846584680126923,0.176,0.566,2.7,99.7
179,2004.23,17024.624916598696,2760.26,600,Credit,Medium,5,13026.64,49044.91,0.9006857677318183,0.162,0.314,1.61,57.21
180,176354.91,33712.07589261565,4375.85,600,Investment,Low,19,8408.78,11974.68,0.6988174928663765,0.13,0.119,3.92,263.87
181,7619.77,40584.45115512167,827.13,500,Credit,Medium,10,8134.73,80265.62,0.6681563637524778,0.02,0.822,0.66,24.16
182,824.08,38351.97160405417,3994.45,700,Credit,High,11,8374.06,24696.54,0.617242003391585,0.104,0.246,3.98,80.71
183,598.04,40092.86879407309,799.14,850,Credit,Low,15,13008.21,89961.25,0.7403240141562044,0.02,0.576,0.52,16.58
184,6146.93,22343.582425833716,4012.21,500,Credit,Low,6,12815.24,91082.42,0.7759143667670843,0.18,0.592,4.03,86.39
185,2131.98,41073.87659257606,1523.68,700,Savings,Medium,15,7245.76,94331.01,0.8158874218263776,0.037,1.085,0.68,32.61
186,8699.33,6890.2437131598135,4410.03,400,Credit,Medium,5,6332.9,52023.05,0.6285592519993473,0.64,0.685,23.77,96.9
187,6062.37,27679.965800081627,4731.4,500,Investment,Low,19,8395.06,67709.38,0.9743270404514953,0.171,0.672,0.44,100.69
188,2672.47,1282.174364407957,914.22,700,Investment,High,19,9446.04,77851.59,0.5848792491035679,0.713,0.687,29.6,20.96
189,836.99,16904.705665113244,2420.84,500,Investment,Medium,10,5098.38,13101.46,0.9828265873832062,0.143,0.214,0.25,49.25
190,307.27,18956.615208698495,4908.74,500,Checking,Medium,12,12321.42,60095.72,0.5074280612537518,0.259,0.406,12.76,98.48
191,1525.73,20412.461888853515,2520.36,850,Savings,High,4,8324.28,3429.79,0.7405628459084228,0.123,0.034,3.19,51.93
192,10770.84,35077.89312780325,4345.03,850,Credit,High,18,6342.59,49756.61,0.6666839190582814,0.124,0.654,4.13,97.67
193,4109.85,20039.346962246942,3025.91,700,Checking,Low,16,3388.67,15484.27,0.7245617069651253,0.151,0.381,4.16,64.63
194,460.08,22985.987508504,2001.58,700,Credit,High,8,5104.99,18292.29,0.7853322894903945,0.087,0.299,1.87,40.49
195,3865.21,12639.662412842046,1571.76,300,Checking,Low,4,14340.66,36504.76,0.7177945790063545,0.124,0.212,3.5,35.3
196,5313.34,19289.337789837664,1175.47,500,Checking,High,12,5966.3,43243.72,0.7074234251507975,0.061,0.604,1.78,28.82
197,791.72,12136.211735894422,3856.63,600,Investment,Medium,2,4195.17,62317.24,0.8663617077066532,0.318,1.238,4.25,77.92
198,3754.04,4586.600264653738,2055.39,500,Investment,Low,4,7988.75,7442.84,0.8429381375432323,0.448,0.078,7.04,44.86
199,3252.94,30568.981075687516,2654.12,500,Checking,Low,5,5992.14,50369.18,0.9166356410179239,0.087,0.7,0.73,56.34
200,536.76,33742.4271291958,2563.16,700,Investment,Low,3,2457.07,18262.51,0.6249794906197478,0.076,0.619,2.85,51.8
201,5098.39,31355.026954471112,2970.94,500,Checking,High,9,6200.89,57397.52,0.8047642548770317,0.095,0.771,1.85,64.52
202,6913.12,23711.208146228044,4354.77,800,Savings,Medium,18,9073.41,63740.46,0.7925973926964269,0.184,0.585,3.82,94.01
203,15132.15,19609.50322878226,4907.55,500,Investment,Low,11,9172.26,55670.93,0.6848689054363444,0.25,0.506,7.88,113.28
204,14482.6,43303.34882901944,2156.4,800,Investment,Low,3,6635.27,73829.55,0.7430287709513405,0.05,0.927,1.28,57.61
205,377.47,26435.007471674686,4172.09,850,Investment,Low,2,7814.94,33560.92,0.6568910716528644,0.158,0.358,5.42,83.82
206,730.16,24479.912003856818,3869.73,600,Savings,Low,9,14551.73,76510.66,0.5709221988084926,0.158,0.438,6.78,78.12
207,6454.63,2256.4612245153485,2952.94,700,Checking,Medium,14,6905.53,43276.71,0.6069006053313664,1.0,0.522,39.31,65.51
208,6442.54,17721.14355368166,4789.03,500,Credit,High,4,5356.95,48418.45,0.5527568232006006,0.27,0.753,12.08,102.22
209,6454.75,19629.585320506994,1162.28,800,Investment,Medium,9,5165.07,64810.21,0.8415347875950621,0.059,1.046,0.93,29.7
210,964241.67,20542.316263948123,724.47,800,Checking,Low,13,7950.94,1835.84,0.8303636965545758,0.035,0.019,0.59,978.73
211,7018.72,29428.446092139282,4299.02,850,Savings,Medium,18,11873.76,65399.42,0.9753031857899364,0.146,0.459,0.36,93.0
